acl 2.2.53-3
nss 3.52.1-2
ntfs-3g 2017.3.23-4
ntp 4.2.8.p14-1
openconnect 1:8.10-1
opencore-amr 0.1.5-4
openjpeg2 2.3.1-2
openresolv 3.10.0-1
openssh 8.2p1-3
openssl 1.1.1.g-1
openssl-1.0 1.0.2.u-1
openvpn 2.4.9-2
opus 1.3.1-2
p11-kit 0.23.20-5
pacman 5.2.1-6
pacman-mirrorlist 20200411-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
partclone 0.3.12-1
parted 3.3-2
partimage 0.6.9-12
patch 2.7.6-8
pbzip2 1.1.13-2
pciutils 3.6.4-1
pcre 8.44-1
pcre2 10.35-1
pcsclite 1.8.26-1
perl 5.30.2-1
perl-error 0.17029-1
perl-mailtools 2.21-3
perl-timedate 2.33-1
perl-uri 1.76-3
pigz 2.4-1
pinentry 1.1.0-5
pixman 0.40.0-1
pixz 1.0.6-2
pkcs11-helper 1.26.0-1
pkgconf 1.6.3-4
polkit 0.116-5
polkit-gnome 0.105-4
popt 1.16-12
ppp 2.4.7-7
pptpclient 1.10.0-2
procps-ng 3.3.16-2
progsreiserfs 0.3.0.5-10
psmisc 23.3-2
python 3.8.3-1
python-ply 3.11-5
qt5-base 5.14.2-3
readline 8.0.004-1
refind 0.12.0-6
reiserfsprogs 3.6.27-3
rest 0.8.1-3
rp-pppoe 3.13-2
rpcbind 1.2.5-3
rsync 3.1.3-3
run-parts 4.8.6.1-2
screen 4.8.0-1
sdl2 2.0.12-1
sdparm 1.11-1
sed 4.8-1
sg3_utils 1.45-1
shadow 4.8.1-1
shared-mime-info 2.0+1+g6bf9e4f-2
slang 2.3.2-2
smartmontools 7.1-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spice 0.14.3-2
sqlite 3.31.1-1
srt 1.4.1-2
sshfs 3.7.0-1
startup-notification 0.12-7
stoken 0.92-4
sudo 1.9.0-1
sysfsutils 2.1.0-11
syslinux 6.04.pre2.r11.gbf6db5b4-3
systemd 245.5-2
systemd-libs 245.5-2
systemd-sysvcompat 245.5-2
tar 1.32-3
tcl 8.6.10-2
tcpdump 4.9.3-2
tdb 1.4.3-2
testdisk 7.1-2
texinfo 6.7-3
thin-provisioning-tools 0.8.5-3
thunar 1.8.15-1
thunar-volman 0.9.5-3
tre 0.8.0-5
tslib 1.21-2
ttf-liberation 2.1.0-1
tumbler 0.2.8-2
tzdata 2020a-1
udisks2 2.8.4-2
upower 0.99.11-2
usb_modeswitch 2.6.0-2
usbmuxd 1.1.0+69+g8a69f1a-1
usbutils 012-2
util-linux 2.35.2-1
v4l-utils 1.18.1-1
vi 1:070224-4
vid.stab 1.1-3
vim 8.2.0814-2
vim-runtime 8.2.0814-2
vmaf 1.5.1-1
volume_key 0.3.12-3
vpnc 1:0.5.3.r468.r81-1
vte-common 0.60.2-2
vte3 0.60.2-2
vulkan-icd-loader 1.2.140-1
wayland 1.18.0-2
wayland-protocols 1.20-1
wget 1.20.3-3
which 2.21-5
wireless-regdb 2019.06.03-2
wireless_tools 30.pre9-3
wpa_supplicant 2:2.9-7
wvdial 1.61-7
wvstreams 4.6.1-16
x264 3:0.159.r2999.296494a-1
x265 3.3-1
xapps 1.8.5-1
xcb-proto 1.14-1
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xed 2.6.0-1
xf86-input-evdev 2.10.6-2
xf86-input-libinput 0.30.0-1
xf86-input-synaptics 1.9.1-2
xf86-input-vmmouse 13.1.0-5
xf86-input-void 1.4.1-5
xf86-video-amdgpu 19.1.0-2
xf86-video-ati 1:19.1.0-2
xf86-video-dummy 0.3.8-4
xf86-video-fbdev 0.5.0-2
xf86-video-intel 1:2.99.917+908+g7181c5a4-1
xf86-video-nouveau 1.0.16-2
xf86-video-openchrome 0.6.0-4
xf86-video-qxl 0.1.5-7
xf86-video-vesa 2.4.0-3
xf86-video-vmware 13.3.0-2
xf86-video-voodoo 1.2.5-11
xfce4-appfinder 4.14.0-2
xfce4-panel 4.14.4-1
xfce4-power-manager 1.6.6-1
xfce4-screenshooter 1.9.7-2
xfce4-session 4.14.2-2
xfce4-settings 4.14.3-1
xfce4-terminal 0.8.9.2-1
xfconf 4.14.3-1
xfdesktop 4.14.2-2
xfsprogs 5.6.0-2
xfwm4 4.14.2-1
xfwm4-themes 4.10.0-4
xkeyboard-config 2.29-1
xl2tpd 1.3.15-1
xorg-iceauth 1.0.8-2
xorg-server 1.20.8-2
xorg-server-common 1.20.8-2
xorg-setxkbmap 1.3.2-2
xorg-xauth 1.1-2
xorg-xinit 1.4.1-2
xorg-xkbcomp 1.4.3-1
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.4-2
xorg-xrdb 1.2.0-2
xorg-xset 1.2.4-2
xorgproto 2020.1-1
xplc 0.3.13-8
xvidcore 1.3.7-2
xz 5.2.5-1
zeromq 4.3.2-1
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.6.2-3
zlib 1:1.2.11-4
zsh 5.8-1
zstd 1.4.5-1
